symbol,n_rows,flagged_rate,mean_score
BNBUSDT,360,0.07222222222222222,0.5948951145403888
ETHUSDT,360,0.06388888888888888,0.5939027407364921
DOGEUSDT,360,0.04722222222222222,0.5925216783234784
BTCUSDT,360,0.03611111111111111,0.5930945083907659
SOLUSDT,360,0.030555555555555555,0.5911785807056154
